filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_2015_ch_843_strand.fast5	5a8cd758-603f-4570-8ec5-09abca2c09b0	f92717327e20661b488f6bebe7463e7dfa7490be	843	1770.3565	1.31175	1016	True	0.04175	1016	1.27	1016	747	12.281	-0.0016
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1199_ch_2529_strand.fast5	65c60218-0d74-4776-b322-c54cee404651	f92717327e20661b488f6bebe7463e7dfa7490be	2529	1742.1235	1.28425	951	True	0.0955	951	1.18875	951	671	9.937	-0.0018
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1403_ch_56_strand.fast5	694d013f-43b2-43aa-a0fd-3e0fe5815c8c	f92717327e20661b488f6bebe7463e7dfa7490be	56	1731.24775	1.52675	1183	True	0.04725	1183	1.4795	1183	940	11.134	-0.0013
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1159_ch_314_strand.fast5	6c78b1e9-7897-4852-b974-ed84194b5815	f92717327e20661b488f6bebe7463e7dfa7490be	314	1767.0205	5.98675	4690	True	0.12425	4690	5.8625	4690	3459	13.976	-0.0002
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_940_ch_1055_strand.fast5	96def204-fab6-4828-b646-c04f3dfb04df	f92717327e20661b488f6bebe7463e7dfa7490be	1055	1695.9275	10.7185	8574	False	0.0	8574	10.7185	8574	264	5.372	-0.0002
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_15285_ch_2962_strand.fast5	a42f45ef-6e72-4d37-918b-8d76350b1847	f92717327e20661b488f6bebe7463e7dfa7490be	2962	1715.3315	1.71775	1374	True	0.0	1374	1.71775	1374	818	12.552	-0.0016
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1102_ch_1790_strand.fast5	ab479297-af7c-4c58-8a3b-9c3f016330cd	f92717327e20661b488f6bebe7463e7dfa7490be	1790	1739.8945	2.241	1668	True	0.15575	1668	2.08525	1668	1195	9.934	-0.0011
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_971_ch_1711_strand.fast5	bcbcbaac-2539-4e10-92f6-50e953fb09a1	f92717327e20661b488f6bebe7463e7dfa7490be	1711	1762.56225	1.7415	1333	True	0.0745	1333	1.667	1333	984	10.159	-0.0003
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_869_ch_2031_strand.fast5	e17f7c0e-bcd9-492c-896b-18fbf2c868f1	f92717327e20661b488f6bebe7463e7dfa7490be	2031	1723.259	1.8155	1419	True	0.04075	1419	1.77475	1419	1069	9.634	-0.0009
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1082_ch_1800_strand.fast5	e1a50bd2-2cbe-413a-be28-1cea38dc83a3	f92717327e20661b488f6bebe7463e7dfa7490be	1800	1687.3465	7.70275	6110	True	0.0645	6110	7.63825	6110	4506	11.106	-0.0002
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_851_ch_681_strand.fast5	eff75540-6554-4b41-85dd-5877364ba467	f92717327e20661b488f6bebe7463e7dfa7490be	681	1745.528	1.08925	849	True	0.028	849	1.06125	849	591	9.846	-0.0011
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1011_ch_634_strand.fast5	fb49108b-4849-4e3d-b4d8-bef306d8a022	f92717327e20661b488f6bebe7463e7dfa7490be	634	1729.826	8.0625	6450	False	0.0	6450	8.0625	6450	45	4.273	-0.0004
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_958_ch_168_strand.fast5	0e97534e-de4d-4fee-94f2-79d10667b490	f92717327e20661b488f6bebe7463e7dfa7490be	168	1736.86575	6.1255	4866	True	0.042	4866	6.0835	4866	3539	13.996	-0.0003
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_696_ch_1540_strand.fast5	138fb900-87f8-4886-9646-ef773fe22589	f92717327e20661b488f6bebe7463e7dfa7490be	1540	1715.55575	3.76575	2959	True	0.0665	2959	3.69925	2959	2168	12.799	-0.0008
